,home,away,GH,GA
19.10. 20:45,Celtic,B. Monchengladbach,0,2
19.10. 20:45,Dyn. Kiev,Benfica,0,2
19.10. 20:45,FK Rostov,Atl. Madrid,0,1
19.10. 20:45,Napoli,Besiktas,2,3
19.10. 20:45,Paris SG,Basel,3,0
18.10. 20:45,Bayer Leverkusen,Tottenham,0,0
18.10. 20:45,Club Brugge KV,FC Porto,1,2
18.10. 20:45,CSKA Moscow,Monaco,1,1
18.10. 20:45,D. Zagreb,Sevilla,0,1
18.10. 20:45,Leicester,FC Copenhagen,1,0
18.10. 20:45,Lyon,Juventus,0,1
18.10. 20:45,Real Madrid,Legia,5,1
18.10. 20:45,Sporting,Dortmund,1,2
28.09. 20:45,Arsenal,Basel,2,0
28.09. 20:45,Atl. Madrid,Bayern Munich,1,0
28.09. 20:45,B. Monchengladbach,Barcelona,1,2
28.09. 20:45,Besiktas,Dyn. Kiev,1,1
28.09. 20:45,Celtic,Manchester City,3,3
28.09. 20:45,FK Rostov,PSV,2,2
28.09. 20:45,Ludogorets,Paris SG,1,3
28.09. 20:45,Napoli,Benfica,4,2
27.09. 20:45,CSKA Moscow,Tottenham,0,1
27.09. 20:45,D. Zagreb,Juventus,0,4
27.09. 20:45,Dortmund,Real Madrid,2,2
27.09. 20:45,FC Copenhagen,Club Brugge KV,4,0
27.09. 20:45,Leicester,FC Porto,1,0
27.09. 20:45,Monaco,Bayer Leverkusen,1,1
27.09. 20:45,Sevilla,Lyon,1,0
27.09. 20:45,Sporting,Legia,2,0
14.09. 20:45,Bayer Leverkusen,CSKA Moscow,2,2
14.09. 20:45,Club Brugge KV,Leicester,0,3
14.09. 20:45,FC Porto,FC Copenhagen,1,1
14.09. 20:45,Juventus,Sevilla,0,0
14.09. 20:45,Legia,Dortmund,0,6
14.09. 20:45,Lyon,D. Zagreb,3,0
14.09. 20:45,Manchester City,B. Monchengladbach,4,0
14.09. 20:45,Real Madrid,Sporting,2,1
14.09. 20:45,Tottenham,Monaco,1,2
13.09. 20:45,Barcelona,Celtic,7,0
13.09. 20:45,Basel,Ludogorets,1,1
13.09. 20:45,Bayern Munich,FK Rostov,5,0
13.09. 20:45,Benfica,Besiktas,1,1
13.09. 20:45,Dyn. Kiev,Napoli,1,2
13.09. 20:45,Paris SG,Arsenal,1,1
